year,game_pk,game_date,game_datetime,status_code,status_description,home_team_id,home_team_name,away_team_id,away_team_name,venue_id,venue_name,game_type,season,season_display,home_score,away_score,winning_team_id,losing_team_id
2015,415196,2015-08-01,2015-08-01T20:05:00Z,F,Final,119,Los Angeles Dodgers,108,Los Angeles Angels,22,Dodger Stadium,R,2015,2015,3.0,1.0,119.0,108.0
2015,415202,2015-08-01,2015-08-01T23:05:00Z,F,Final,110,Baltimore Orioles,116,Detroit Tigers,2,Oriole Park at Camden Yards,R,2015,2015,6.0,2.0,110.0,116.0
2015,415198,2015-08-01,2015-08-01T23:05:00Z,F,Final,143,Philadelphia Phillies,144,Atlanta Braves,2681,Citizens Bank Park,R,2015,2015,12.0,2.0,143.0,144.0
2015,415197,2015-08-01,2015-08-01T23:10:00Z,F,Final,117,Houston Astros,109,Arizona Diamondbacks,2392,Minute Maid Park,R,2015,2015,9.0,2.0,117.0,109.0
2015,415210,2015-08-01,2015-08-01T23:10:00Z,F,Final,121,New York Mets,120,Washington Nationals,3289,Citi Field,R,2015,2015,3.0,2.0,121.0,120.0
2015,415205,2015-08-01,2015-08-01T23:10:00Z,F,Final,113,Cincinnati Reds,134,Pittsburgh Pirates,2602,Great American Ball Park,R,2015,2015,4.0,3.0,113.0,134.0
2015,415203,2015-08-01,2015-08-01T17:07:00Z,F,Final,141,Toronto Blue Jays,118,Kansas City Royals,14,Rogers Centre,R,2015,2015,6.0,7.0,118.0,141.0
2015,415207,2015-08-01,2015-08-01T23:10:00Z,F,Final,142,Minnesota Twins,136,Seattle Mariners,3312,Target Field,R,2015,2015,3.0,2.0,142.0,136.0
2015,415204,2015-08-01,2015-08-01T23:10:00Z,F,Final,145,Chicago White Sox,147,New York Yankees,4,U.S. Cellular Field,R,2015,2015,8.0,2.0,145.0,147.0
2015,415199,2015-08-01,2015-08-01T23:10:00Z,F,Final,158,Milwaukee Brewers,112,Chicago Cubs,32,Miller Park,R,2015,2015,2.0,4.0,112.0,158.0
2015,415201,2015-08-01,2015-08-01T23:15:00Z,F,Final,138,St. Louis Cardinals,115,Colorado Rockies,2889,Busch Stadium,R,2015,2015,2.0,6.0,115.0,138.0
2015,415208,2015-08-01,2015-08-02T00:05:00Z,F,Final,140,Texas Rangers,137,San Francisco Giants,13,Globe Life Park in Arlington,R,2015,2015,7.0,9.0,137.0,140.0
2015,415200,2015-08-01,2015-08-02T01:05:00Z,F,Final,133,Oakland Athletics,114,Cleveland Indians,10,O.co Coliseum,R,2015,2015,5.0,1.0,133.0,114.0
2015,415218,2015-08-02,2015-08-02T17:07:00Z,F,Final,141,Toronto Blue Jays,118,Kansas City Royals,14,Rogers Centre,R,2015,2015,5.0,2.0,141.0,118.0
2015,415220,2015-08-02,2015-08-02T17:10:00Z,F,Final,113,Cincinnati Reds,134,Pittsburgh Pirates,2602,Great American Ball Park,R,2015,2015,0.0,3.0,134.0,113.0
2015,415206,2015-08-01,2015-08-01T23:10:00Z,F,Final,146,Miami Marlins,135,San Diego Padres,4169,Marlins Park,R,2015,2015,3.0,5.0,135.0,146.0
2015,415221,2015-08-02,2015-08-02T17:10:00Z,F,Final,146,Miami Marlins,135,San Diego Padres,4169,Marlins Park,R,2015,2015,5.0,2.0,146.0,135.0
2015,415181,2015-07-31,2015-08-01T02:10:00Z,F,Final,119,Los Angeles Dodgers,108,Los Angeles Angels,22,Dodger Stadium,R,2015,2015,5.0,3.0,119.0,108.0
2015,415186,2015-07-31,2015-08-01T00:15:00Z,F,Final,138,St. Louis Cardinals,115,Colorado Rockies,2889,Busch Stadium,R,2015,2015,7.0,0.0,138.0,115.0
2015,415168,2015-07-30,2015-07-31T00:10:00Z,F,Final,117,Houston Astros,108,Los Angeles Angels,2392,Minute Maid Park,R,2015,2015,3.0,0.0,117.0,108.0
2015,415179,2015-07-30,2015-07-31T00:10:00Z,F,Final,142,Minnesota Twins,136,Seattle Mariners,3312,Target Field,R,2015,2015,9.0,5.0,142.0,136.0
2015,415171,2015-07-30,2015-07-31T00:10:00Z,F,Final,158,Milwaukee Brewers,112,Chicago Cubs,32,Miller Park,R,2015,2015,2.0,5.0,112.0,158.0
2015,415172,2015-07-30,2015-07-31T02:05:00Z,F,Final,133,Oakland Athletics,114,Cleveland Indians,10,O.co Coliseum,R,2015,2015,1.0,3.0,114.0,133.0
2015,415187,2015-07-31,2015-07-31T23:05:00Z,F,Final,110,Baltimore Orioles,116,Detroit Tigers,2,Oriole Park at Camden Yards,R,2015,2015,8.0,7.0,110.0,116.0
2015,415183,2015-07-31,2015-07-31T23:05:00Z,F,Final,143,Philadelphia Phillies,144,Atlanta Braves,2681,Citizens Bank Park,R,2015,2015,9.0,3.0,143.0,144.0
2015,415188,2015-07-31,2015-07-31T23:07:00Z,F,Final,141,Toronto Blue Jays,118,Kansas City Royals,14,Rogers Centre,R,2015,2015,7.0,6.0,141.0,118.0
2015,415185,2015-07-31,2015-08-01T01:35:00Z,F,Final,133,Oakland Athletics,114,Cleveland Indians,10,O.co Coliseum,R,2015,2015,1.0,2.0,114.0,133.0
2015,415195,2015-07-31,2015-07-31T23:10:00Z,F,Final,121,New York Mets,120,Washington Nationals,3289,Citi Field,R,2015,2015,2.0,1.0,121.0,120.0
2015,415194,2015-07-31,2015-07-31T23:10:00Z,F,Final,111,Boston Red Sox,139,Tampa Bay Rays,3,Fenway Park,R,2015,2015,7.0,5.0,111.0,139.0
2015,415191,2015-07-31,2015-07-31T23:10:00Z,F,Final,146,Miami Marlins,135,San Diego Padres,4169,Marlins Park,R,2015,2015,3.0,8.0,135.0,146.0
2015,415193,2015-07-31,2015-08-01T00:05:00Z,F,Final,140,Texas Rangers,137,San Francisco Giants,13,Globe Life Park in Arlington,R,2015,2015,6.0,3.0,140.0,137.0
2015,415182,2015-07-31,2015-08-01T00:10:00Z,F,Final,117,Houston Astros,109,Arizona Diamondbacks,2392,Minute Maid Park,R,2015,2015,4.0,6.0,109.0,117.0
2015,415192,2015-07-31,2015-08-01T00:10:00Z,F,Final,142,Minnesota Twins,136,Seattle Mariners,3312,Target Field,R,2015,2015,1.0,6.0,136.0,142.0
2015,415189,2015-07-31,2015-08-01T00:10:00Z,F,Final,145,Chicago White Sox,147,New York Yankees,4,U.S. Cellular Field,R,2015,2015,6.0,13.0,147.0,145.0
2015,415184,2015-07-31,2015-08-01T00:10:00Z,F,Final,158,Milwaukee Brewers,112,Chicago Cubs,32,Miller Park,R,2015,2015,1.0,4.0,112.0,158.0
2015,415190,2015-07-31,2015-07-31T23:10:00Z,F,Final,113,Cincinnati Reds,134,Pittsburgh Pirates,2602,Great American Ball Park,R,2015,2015,4.0,5.0,134.0,113.0
2015,415256,2015-08-05,2015-08-05T19:35:00Z,F,Final,108,Los Angeles Angels,114,Cleveland Indians,1,Angel Stadium of Anaheim,R,2015,2015,4.0,3.0,108.0,114.0
2015,415217,2015-08-02,2015-08-02T17:35:00Z,F,Final,110,Baltimore Orioles,116,Detroit Tigers,2,Oriole Park at Camden Yards,R,2015,2015,1.0,6.0,116.0,110.0
2015,415213,2015-08-02,2015-08-02T17:35:00Z,F,Final,143,Philadelphia Phillies,144,Atlanta Braves,2681,Citizens Bank Park,R,2015,2015,2.0,6.0,144.0,143.0
2015,415237,2015-08-04,2015-08-04T23:05:00Z,F,Final,120,Washington Nationals,109,Arizona Diamondbacks,3309,Nationals Park,R,2015,2015,5.0,4.0,120.0,109.0
2015,415240,2015-08-04,2015-08-04T23:05:00Z,F,Final,134,Pittsburgh Pirates,112,Chicago Cubs,31,PNC Park,R,2015,2015,0.0,5.0,112.0,134.0
2015,415244,2015-08-04,2015-08-04T23:05:00Z,F,Final,143,Philadelphia Phillies,119,Los Angeles Dodgers,2681,Citizens Bank Park,R,2015,2015,6.0,2.0,143.0,119.0
2015,415239,2015-08-04,2015-08-04T23:05:00Z,F,Final,147,New York Yankees,111,Boston Red Sox,3313,Yankee Stadium,R,2015,2015,13.0,3.0,147.0,111.0
2015,415245,2015-08-04,2015-08-04T23:07:00Z,F,Final,141,Toronto Blue Jays,142,Minnesota Twins,14,Rogers Centre,R,2015,2015,3.0,1.0,141.0,142.0
2015,415243,2015-08-04,2015-08-04T23:08:00Z,F,Final,116,Detroit Tigers,118,Kansas City Royals,2394,Comerica Park,R,2015,2015,1.0,5.0,118.0,116.0
2015,415250,2015-08-04,2015-08-04T23:10:00Z,F,Final,113,Cincinnati Reds,138,St. Louis Cardinals,2602,Great American Ball Park,R,2015,2015,3.0,2.0,113.0,138.0
2015,415228,2015-08-03,2015-08-03T23:05:00Z,DR,Postponed,134,Pittsburgh Pirates,112,Chicago Cubs,31,PNC Park,R,2015,2015,,,,
2015,415249,2015-08-04,2015-08-04T23:10:00Z,F,Final,144,Atlanta Braves,137,San Francisco Giants,16,Turner Field,R,2015,2015,3.0,8.0,137.0,144.0
2015,415242,2015-08-04,2015-08-05T00:05:00Z,F,Final,140,Texas Rangers,117,Houston Astros,13,Globe Life Park in Arlington,R,2015,2015,4.0,3.0,140.0,117.0
2015,415251,2015-08-04,2015-08-05T00:10:00Z,F,Final,145,Chicago White Sox,139,Tampa Bay Rays,4,U.S. Cellular Field,R,2015,2015,3.0,11.0,139.0,145.0
2015,415247,2015-08-04,2015-08-05T00:10:00Z,F,Final,158,Milwaukee Brewers,135,San Diego Padres,32,Miller Park,R,2015,2015,4.0,1.0,158.0,135.0
2015,415248,2015-08-04,2015-08-05T00:40:00Z,F,Final,115,Colorado Rockies,136,Seattle Mariners,19,Coors Field,R,2015,2015,4.0,10.0,136.0,115.0
2015,415241,2015-08-04,2015-08-05T02:05:00Z,F,Final,108,Los Angeles Angels,114,Cleveland Indians,1,Angel Stadium of Anaheim,R,2015,2015,0.0,2.0,114.0,108.0
2015,415238,2015-08-04,2015-08-05T02:05:00Z,F,Final,133,Oakland Athletics,110,Baltimore Orioles,10,O.co Coliseum,R,2015,2015,5.0,0.0,133.0,110.0
2015,415266,2015-08-05,2015-08-05T18:10:00Z,F,Final,145,Chicago White Sox,139,Tampa Bay Rays,4,U.S. Cellular Field,R,2015,2015,6.0,5.0,145.0,139.0
2015,415246,2015-08-04,2015-08-04T23:10:00Z,F,Final,146,Miami Marlins,121,New York Mets,4169,Marlins Park,R,2015,2015,1.0,5.0,121.0,146.0
